timestamp,strategy_file,git_sha,symbol,timeframe,period,total_return,cagr,max_drawdown,sharpe,sortino,calmar,beta,jensen_alpha,tracking_error,information_ratio,profit_factor,win_rate,payoff_ratio,n_trades,avg_win,avg_loss,pct_in_market
2026-05-04T05:10:27,research/examples/strategies/kol_range_fade_4h_long.py,nogit,BTC/USDT,4H,IS,-0.1397299999999999,-0.4820691446514258,-0.4975277264627401,-0.09561125303102469,-0.04822399441464575,-0.9689292053706839,0.07017004550600157,-0.07434287648655975,1.176174826383211,0.1985067770403674,0.966066298734426,0.6666666666666666,0.483033149367213,90,236.07633333333337,-488.73733333333337,0.282
2026-05-04T05:10:27,research/examples/strategies/kol_range_fade_4h_long.py,nogit,BTC/USDT,4H,OOS,-0.09660200000000008,-0.33368816980576643,-0.2501737297843857,-1.1273406778915465,-0.6388355935458154,-1.333825778163672,0.20809924375969818,-0.4365092679533259,0.44102901206729833,-1.6807975530330594,0.7564130193100382,0.6666666666666666,0.3782065096550192,27,122.8477777777778,-324.8166666666666,0.21389396709323583
2026-05-04T05:15:01,research/examples/strategies/kol_range_fade_4h_long_no_stop.py,nogit,BTC/USDT,4H,IS,-0.290284,-0.7766158132504478,-0.4727175673914258,-1.0606922124171578,-0.5292403331689028,-1.6428748724867765,0.01312912262874024,-1.005542343121133,1.1375055460919505,-0.5967771453722392,0.8450776613293148,0.6344086021505376,0.4869939065287577,93,192.8528813559322,-396.00676470588235,0.274
2026-05-04T05:15:01,research/examples/strategies/kol_range_fade_4h_long_no_stop.py,nogit,BTC/USDT,4H,OOS,-0.10907199999999995,-0.3696910285906507,-0.2460042149591285,-1.422997227133803,-0.7719223685835466,-1.502783310652103,0.18092719499808285,-0.4883860024528319,0.4358633253095149,-1.8437308596903248,0.7255965544566274,0.6428571428571429,0.40310919692034836,28,121.58055555555555,-301.6070000000001,0.20109689213893966
2026-05-04T05:20:03,research/examples/strategies/kol_ohlc_anchor_4h_long_hysteresis.py,nogit,BTC/USDT,4H,IS,0.005846000000000018,0.025807354704422636,-0.4502150787036596,0.5097360455953411,0.319836126497828,0.05732227978399085,0.3251848857930058,0.6012662166388342,1.0374660388856467,0.7948835959301422,1.0854178146385927,0.47333333333333333,1.2077184134711112,150,281.0447887323944,-232.70721518987344,0.21
2026-05-04T05:20:03,research/examples/strategies/kol_ohlc_anchor_4h_long_hysteresis.py,nogit,BTC/USDT,4H,OOS,0.024256999999999973,0.10051958054869581,-0.03653901611575838,1.099167360526615,0.27341366148224844,2.751020449763675,0.030154911628918958,0.08849757528519664,0.40082707076071133,-0.7104244771709681,4.15947362551578,0.5,4.15947362551578,4,186.49,-44.835,0.043875685557586835
2026-05-04T05:21:29,research/examples/strategies/kol_ohlc_anchor_4h_long.py,nogit,BTC/USDT,4H,IS,-0.23619599999999996,-0.6920473974521566,-0.65821355531872,-0.2739255240600393,-0.30705481845785826,-1.0514025301667536,0.2187964766674464,-0.28317943190841005,1.3815822201045709,-0.017777354050418512,0.9537539558274616,0.45901639344262296,1.1240671622252225,122,441.40857142857146,-392.6887878787879,0.426
2026-05-04T05:21:29,research/examples/strategies/kol_ohlc_anchor_4h_long.py,nogit,BTC/USDT,4H,OOS,-0.18486499999999995,-0.5581832829203159,-0.2699672948110614,-3.584878997185764,-1.766985563042564,-2.067595940874855,0.05681712099242475,-0.81545463215988,0.43898759549172967,-2.6844684315120704,0.4061636761067473,0.3333333333333333,0.8123273522134946,12,295.90749999999997,-364.27125,0.11882998171846434
2026-05-04T06:28:03,research/examples/strategies/funding_rate_bottom_fisher.py,nogit,ETH/USDT,4H,IS,0.1686319999999999,0.9762276755429782,-0.19304017706234966,1.3990578870841965,0.40416226575956377,5.057121737034402,0.09137879042903464,0.9247337970183643,0.9767672943192333,1.3254292015222144,1.5526563898794563,0.6,1.0351042599196376,15,580.05,-560.3783333333333,0.05
2026-05-04T06:28:03,research/examples/strategies/funding_rate_bottom_fisher.py,nogit,ETH/USDT,4H,OOS,-0.005070000000000019,-0.020108113707594133,-0.17733036039264516,0.10387338651842082,0.023964960270961268,-0.11339351966054045,0.07757629821607849,-0.01550046931598624,0.6741551944616546,-0.8964711950443989,1.010696124846572,0.8333333333333334,0.20213922496931436,6,149.86399999999998,-741.39,0.04753199268738574
2026-05-04T06:28:25,research/examples/strategies/funding_rate_bottom_fisher.py,nogit,SOL/USDT,4H,IS,-0.66759,-0.9904141525703622,-0.7335750742084839,-2.637380635439316,-0.974593434919807,-1.350119691074569,0.23604982083781284,-4.035437067930767,1.690594531272345,-3.1836588456801826,0.39494849015818184,0.6216216216216216,0.24040342879193685,37,184.53521739130437,-767.6064285714285,0.13513513513513514
2026-05-04T06:28:25,research/examples/strategies/funding_rate_bottom_fisher.py,nogit,SOL/USDT,4H,OOS,-0.017319000000000084,-0.0674375426979188,-0.25851753144491485,0.1737562040536747,0.09206007875886307,-0.2608625508722547,0.2149851053250818,-0.1917850203009871,0.793505017245982,-1.5966511726371628,0.9842744444946651,0.5714285714285714,0.7382058333709988,14,353.8725,-479.3683333333333,0.1170018281535649
2026-05-04T06:28:41,research/examples/strategies/kol_range_fade_4h_long.py,nogit,ETH/USDT,4H,IS,-0.591793,-0.9800905966645914,-0.752132633419875,-2.06496156403142,-1.224542913915667,-1.3030821335436722,0.1050035223792324,-2.8359967239699504,1.573749683453984,-1.5705428356300868,0.7649123970059656,0.6486486486486487,0.41432754837823155,111,227.5606944444445,-549.2289743589745,0.332
2026-05-04T06:28:41,research/examples/strategies/funding_rate_bottom_fisher.py,nogit,BNB/USDT,4H,IS,0.8453689999999998,13.558554955018517,-0.35997363306758956,2.872568055761744,1.8714790357079598,37.66541132325858,-0.012261312210664989,3.3210627088691154,1.4717977431012226,3.4737703430427342,1.5112088735202631,0.6428571428571429,0.8395604852890356,84,551.4616666666667,-656.8456666666666,0.248
2026-05-04T06:28:41,research/examples/strategies/kol_range_fade_4h_long.py,nogit,ETH/USDT,4H,OOS,0.004053000000000084,0.01629582468871238,-0.23076494912369216,0.22346106615410088,0.11030097658261537,0.07061655052292047,0.10734496584162835,0.009980004788682082,0.6679138949816184,-0.8382463834595812,1.0777151839188601,0.7391304347826086,0.38037006491253883,23,221.0152941176471,-581.0533333333334,0.1882998171846435
2026-05-04T06:28:41,research/examples/strategies/funding_rate_bottom_fisher.py,nogit,BNB/USDT,4H,OOS,0.031438999999999995,0.13168388162390587,-0.05117801567657543,0.8407168423051126,0.12419415277450141,2.5730556349838825,0.01341944066012914,0.12273071130325089,0.4947849743459197,-1.9405779088578683,3.432515757741847,0.5,3.432515757741847,4,250.505,-72.98,0.029250457038391225
2026-05-04T06:29:02,research/examples/strategies/kol_range_fade_4h_long.py,nogit,SOL/USDT,4H,IS,-0.5959380000000001,-0.9781552494065637,-0.7172234526771948,-1.1633028256502325,-0.8638344246052269,-1.3638082326440712,0.1661014086005443,-2.4096518235867435,2.131985708868431,-1.8198103141317872,0.7991287251246406,0.580952380952381,0.5764207197620362,105,337.88852459016397,-586.1838636363635,0.333976833976834
2026-05-04T06:29:02,research/examples/strategies/kol_range_fade_4h_long.py,nogit,SOL/USDT,4H,OOS,-0.24846899999999994,-0.6806695398587407,-0.37027990194708105,-1.6845538415518055,-1.0783015272336771,-1.8382567789380566,0.21146971919722068,-1.2641915000588924,0.78659410898706,-2.9801544198267576,0.5393147461854609,0.56,0.4237473005742907,25,190.74214285714288,-450.1318181818182,0.2376599634369287
2026-05-04T06:29:19,research/examples/strategies/kol_range_fade_4h_long.py,nogit,BNB/USDT,4H,IS,-0.578331,-0.9770567666176526,-0.6925074926550927,-2.835896350544253,-1.9606460451113137,-1.4108970328560493,-0.09648572596329676,-3.3108987569002037,1.4737241887569352,-0.9297556441889413,0.7164234142054251,0.5462184873949579,0.5951825287245072,119,187.10984615384615,-314.3738888888889,0.37
2026-05-04T06:29:19,research/examples/strategies/kol_range_fade_4h_long.py,nogit,BNB/USDT,4H,OOS,0.11428499999999997,0.5410389575412866,-0.1210366932426532,1.7028635571704682,0.7346774485295688,4.470040803714101,0.08855605528934664,0.3747677289286733,0.511037216696253,-1.2242936919675456,1.976730136547588,0.6842105263157895,0.9123369860988868,19,208.90692307692308,-228.98,0.1480804387568556
2026-05-04T07:28:43,research/examples/strategies/kol_200w_value_zone_long.py,nogit,BTC/USDT,1D,IS,0.27144999999999997,0.15399689319707255,-0.5701244270027146,0.5415491369041442,0.383011275233596,0.2701110247225722,0.23540336257019154,0.05333173681872019,0.6872178630392571,-1.0320064772497821,2736.55,1.0,nan,2,1368.275,nan,0.32569558101472995
2026-05-04T07:28:43,research/examples/strategies/kol_200w_value_zone_long.py,nogit,BTC/USDT,1D,OOS,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.426287251947195,0.18853785132657286,nan,nan,nan,0,nan,nan,0.0
2026-05-05T13:18:44,my-research/strategies/sma_cross_rsi_basic.py,nogit,BTC/USDT,4H,IS,-0.23236899999999994,-0.6852454421652729,-0.624978560104045,0.051534873533595385,0.04869255879302693,-1.0964303192275826,0.3557650446083457,0.04718904098645309,1.6027301167268018,-0.008867225803327397,0.884845183994062,0.32894736842105265,1.8050841753478866,76,587.4696,-325.4527450980392,0.418
2026-05-05T13:18:44,my-research/strategies/sma_cross_rsi_basic.py,nogit,BTC/USDT,4H,OOS,-0.15928700000000007,-0.5001196558625848,-0.22125575248191476,-1.8694989136030749,-1.3795110882012178,-2.260369053697097,0.16431268373694904,-0.6989361099097369,0.47391877048288594,-2.144442279646976,0.41792065942031925,0.4117647058823529,0.5970295134575989,17,146.59999999999997,-245.54900000000004,0.263254113345521
